Time (s),1_pre,,,Time (s),1_post,,,Time (s),2_pre,,,Time (s),2_post,3_post,,,Time (s),3_pre,,,Time (s),4_pre,4_post,,,Time (s),5_pre,5_post,6_pre,,,Time (s),6_post,7_pre,7_post,8_pre,8_post,,,Time (s),9_pre,,,Time (s),9_post,,,Time (s),10_pre,,,Time (s),10_post,,,Time (s),11_pre,,,Time (s),11_post
2.92,-0.0545,,,2.92,-0.0235,,,2.92,-0.049,,,2.92,0.0318,-0.0329,,,2.92,0.0512,,,2.92,0.0227,0.0327,,,2.92,0.1088,0.034,0.1027,,,2.92,0.0765,0.0082,0.1491,0.0715,-0.0058,,,2.92,-0.0158,,,2.92,-0.0926,,,2.92,-0.0267,,,2.92,0.0394,,,2.92,-0.0246,,,2.92,-0.0365
2.93,0.0174,,,2.93,0.0377,,,2.93,0.0398,,,2.93,0.0497,-0.0059,,,2.93,0.0475,,,2.93,0.0139,0.0141,,,2.93,0.0999,0.1278,0.1272,,,2.93,0.0603,-0.1111,-0.1192,0.0897,0.1676,,,2.93,0.1332,,,2.93,0.2581,,,2.93,-0.0167,,,2.93,0.0403,,,2.93,-0.0873,,,2.93,-0.0524
2.94,0.0383,,,2.94,-0.0197,,,2.94,-0.0522,,,2.94,-0.0543,-0.0034,,,2.94,0.0184,,,2.94,-0.0032,0.0349,,,2.94,0.0162,0.18,0.0838,,,2.94,0.0701,-0.058,0.0736,0.1313,-0.0557,,,2.94,0.0373,,,2.94,-0.186,,,2.94,-0.0505,,,2.94,0.0579,,,2.94,-0.0426,,,2.94,-0.0618
2.95,-0.0166,,,2.95,0.0454,,,2.95,-0.0629,,,2.95,-0.0017,0.0067,,,2.95,0.0765,,,2.95,0.0134,0.0178,,,2.95,0.0485,0.121,0.0721,,,2.95,-0.0101,0.1055,0.1805,0.0378,-0.1157,,,2.95,-0.0207,,,2.95,-0.022,,,2.95,-0.0516,,,2.95,-0.1033,,,2.95,-0.0303,,,2.95,-0.0593
2.96,0.0175,,,2.96,-0.0123,,,2.96,0.0282,,,2.96,0.0083,0.0115,,,2.96,0.0281,,,2.96,0.0029,0.0085,,,2.96,-0.0473,0.1759,0.0779,,,2.96,0.0086,0.0426,0.0588,-0.009,-0.0049,,,2.96,0.0259,,,2.96,0.1324,,,2.96,-0.0086,,,2.96,-0.0814,,,2.96,-0.0502,,,2.96,-0.0377
2.97,-0.0302,,,2.97,0.0656,,,2.97,0.0506,,,2.97,0.0267,0.0354,,,2.97,-0.032,,,2.97,0.022,0.0132,,,2.97,0.0237,0.1056,0.0672,,,2.97,-0.0436,0.1357,-0.0789,-0.1082,-0.0524,,,2.97,0.006,,,2.97,0.0558,,,2.97,0.0346,,,2.97,-0.0797,,,2.97,-0.0442,,,2.97,-0.0116
2.98,0.0222,,,2.98,-0.0198,,,2.98,0.0358,,,2.98,-0.0363,0.0066,,,2.98,-0.017,,,2.98,0.0194,0.0211,,,2.98,-0.0129,0.1704,0.0691,,,2.98,-0.0156,-0.1378,-0.1433,0.0771,-0.0205,,,2.98,-0.0989,,,2.98,0.0445,,,2.98,-0.0222,,,2.98,-0.2148,,,2.98,-0.021,,,2.98,-0.0649
2.99,-0.0167,,,2.99,-0.0047,,,2.99,-0.0335,,,2.99,0.03,0.0473,,,2.99,-0.0222,,,2.99,-0.029,0.0397,,,2.99,-0.0104,0.0972,0.0821,,,2.99,0.0145,-0.1072,0.0453,0.1065,0.0589,,,2.99,0.1938,,,2.99,0.2798,,,2.99,-0.0091,,,2.99,-0.1574,,,2.99,0.0123,,,2.99,-0.0295
3,-0.0024,,,3,-0.0013,,,3,0.0066,,,3,0.0265,0.0198,,,3,0.0218,,,3,-0.0184,0.0048,,,3,-0.0517,0.1878,0.0651,,,3,0.0802,-0.0739,0.1901,0.092,0.0547,,,3,-0.0653,,,3,0.1304,,,3,-0.008,,,3,-0.1535,,,3,-0.0397,,,3,0.021
3.01,0.0289,,,3.01,0.077,,,3.01,0.0187,,,3.01,-0.0308,0.0306,,,3.01,0.0112,,,3.01,-0.0062,0.0158,,,3.01,-0.0569,0.114,0.0456,,,3.01,0.0954,0.0587,0.0319,-0.0262,-0.1539,,,3.01,-0.0763,,,3.01,0.2527,,,3.01,0.0834,,,3.01,-0.242,,,3.01,0.0168,,,3.01,-0.041
3.02,0.0135,,,3.02,-0.0493,,,3.02,0.0056,,,3.02,-0.0016,0.0279,,,3.02,0.0296,,,3.02,-0.0465,0.024,,,3.02,-0.0266,0.0802,0.0014,,,3.02,0.0886,0.0291,0.1084,-0.0119,-0.0434,,,3.02,0.2158,,,3.02,0.0705,,,3.02,0.1374,,,3.02,-0.193,,,3.02,-0.0209,,,3.02,-0.0441
3.03,0.0647,,,3.03,-0.0126,,,3.03,0.0425,,,3.03,0.008,0.0573,,,3.03,0.0093,,,3.03,-0.0308,0.0034,,,3.03,0.0163,0.0422,-0.0031,,,3.03,0.1356,0.0586,0.0796,-0.0395,-0.0644,,,3.03,0.0602,,,3.03,-0.1339,,,3.03,0.0541,,,3.03,-0.0637,,,3.03,0.0708,,,3.03,-0.004
3.04,0.0711,,,3.04,-0.0087,,,3.04,0.0209,,,3.04,0.0228,0.0303,,,3.04,0.0136,,,3.04,-0.036,0.0078,,,3.04,0.0209,0.0851,-0.0839,,,3.04,0.1052,0.0149,0.0053,-0.1395,-0.2245,,,3.04,-0.0371,,,3.04,0.0459,,,3.04,0.053,,,3.04,-0.0681,,,3.04,0.0361,,,3.04,0.0133
3.05,0.059,,,3.05,0.0454,,,3.05,0.0205,,,3.05,0.0057,0.0323,,,3.05,0.071,,,3.05,-0.0123,-0.0151,,,3.05,-0.0052,0.1292,-0.0124,,,3.05,0.1397,0.0518,-0.142,-0.0114,-0.0949,,,3.05,0.0018,,,3.05,0.1037,,,3.05,0.0753,,,3.05,-0.0323,,,3.05,0.0107,,,3.05,0.0337
3.06,0.0063,,,3.06,0.0082,,,3.06,-0.0154,,,3.06,-0.0008,-0.0143,,,3.06,-0.0227,,,3.06,0.0098,-0.0117,,,3.06,-0.0483,-0.0068,0.0489,,,3.06,0.144,-0.0003,-0.0341,0.0384,-0.054,,,3.06,-0.2075,,,3.06,0.0216,,,3.06,0.0769,,,3.06,-0.0529,,,3.06,0.0489,,,3.06,0.0732
3.07,0.0945,,,3.07,-0.0482,,,3.07,0.0427,,,3.07,0.0015,0.012,,,3.07,0.0245,,,3.07,-0.0574,0.0126,,,3.07,0.0362,-0.0005,0.1274,,,3.07,0.1598,-0.0732,0.0722,-0.0492,-0.0883,,,3.07,-0.0463,,,3.07,-0.2045,,,3.07,0.1058,,,3.07,-0.0909,,,3.07,0.0765,,,3.07,0.0153
3.08,0.0507,,,3.08,-0.0365,,,3.08,-0.0146,,,3.08,-0.0594,-0.0633,,,3.08,-0.0168,,,3.08,-0.0503,-0.0074,,,3.08,0.0322,0.0416,0.1686,,,3.08,0.1384,-0.0415,-0.0454,-0.0492,0.061,,,3.08,-0.3025,,,3.08,-0.3039,,,3.08,0.0943,,,3.08,-0.0603,,,3.08,0.0619,,,3.08,0.0772
3.09,0.0441,,,3.09,-0.0268,,,3.09,-0.0382,,,3.09,-0.0319,-0.0309,,,3.09,0.0075,,,3.09,-0.0239,0.0006,,,3.09,-0.0216,0.0314,0.2311,,,3.09,0.1064,-0.0381,0.1792,0.1094,-0.0178,,,3.09,-0.0282,,,3.09,0.0819,,,3.09,0.0898,,,3.09,-0.1267,,,3.09,0.0194,,,3.09,0.0284
3.1,0.0111,,,3.1,-0.0127,,,3.1,0.0254,,,3.1,-0.0488,-0.0546,,,3.1,0.0169,,,3.1,0.0081,-0.0112,,,3.1,-0.011,0,0.2806,,,3.1,0.1306,-0.0786,0.1036,0.1138,-0.0531,,,3.1,-0.1117,,,3.1,-0.0532,,,3.1,0.053,,,3.1,-0.0545,,,3.1,-0.0216,,,3.1,0.0619
3.11,-0.0167,,,3.11,0.0559,,,3.11,0.0299,,,3.11,-0.008,-0.0509,,,3.11,0.0867,,,3.11,0.0235,0.0082,,,3.11,0.0531,-0.0435,0.2983,,,3.11,0.1182,0.061,-0.0365,-0.0594,0.0244,,,3.11,0.1175,,,3.11,-0.0729,,,3.11,0.0946,,,3.11,-0.0056,,,3.11,-0.0102,,,3.11,-0.037
3.12,-0.0079,,,3.12,-0.0636,,,3.12,0.0229,,,3.12,0.0465,-0.0204,,,3.12,0.0519,,,3.12,0.0355,-0.0353,,,3.12,-0.0274,0.0312,0.2822,,,3.12,0.0963,-0.0325,0.0735,-0.0136,0.0307,,,3.12,0.1388,,,3.12,0.2306,,,3.12,0.0823,,,3.12,-0.0549,,,3.12,-0.0359,,,3.12,-0.0517
3.13,0.0469,,,3.13,-0.0228,,,3.13,0.0099,,,3.13,-0.0438,0.0207,,,3.13,-0.0079,,,3.13,0.0229,-0.0105,,,3.13,-0.0474,0.0666,0.3005,,,3.13,0.0908,0.0587,0.1152,0.0733,0.0169,,,3.13,0.1973,,,3.13,0.2566,,,3.13,0.08,,,3.13,-0.0186,,,3.13,0.0386,,,3.13,-0.0278
3.14,-0.0034,,,3.14,0.0442,,,3.14,-0.0149,,,3.14,-0.0332,0.0574,,,3.14,0.0063,,,3.14,0.0121,-0.0104,,,3.14,-0.0633,0.0646,0.2636,,,3.14,0.1014,0.0122,-0.0137,0.1449,-0.1939,,,3.14,0.0004,,,3.14,-0.0981,,,3.14,0.0659,,,3.14,-0.0899,,,3.14,0.0214,,,3.14,-0.0092
3.15,0.0183,,,3.15,-0.0601,,,3.15,-0.05,,,3.15,0.0397,0.0023,,,3.15,-0.0006,,,3.15,0.0405,-0.0261,,,3.15,-0.0727,0.0384,0.178,,,3.15,0.0643,-0.0538,0.0277,0.016,0.0084,,,3.15,-0.0666,,,3.15,-0.2693,,,3.15,0.0677,,,3.15,-0.1593,,,3.15,0.0242,,,3.15,-0.0408
3.16,0.0901,,,3.16,-0.0035,,,3.16,-0.0273,,,3.16,-0.0044,0.0052,,,3.16,-0.0125,,,3.16,0.0544,-0.0456,,,3.16,-0.0582,0.0791,0.1911,,,3.16,0.1047,-0.0274,-0.0509,0.0407,0.0731,,,3.16,0.1142,,,3.16,-0.0561,,,3.16,-0.0038,,,3.16,-0.1499,,,3.16,0.0243,,,3.16,0.0048
3.17,0.028,,,3.17,-0.0096,,,3.17,-0.0151,,,3.17,-0.0366,-0.0277,,,3.17,0.0319,,,3.17,0.0284,0.0088,,,3.17,-0.0613,0.0587,0.1289,,,3.17,0.0659,-0.158,-0.0935,-0.089,-0.0157,,,3.17,0.115,,,3.17,-0.1069,,,3.17,0.0804,,,3.17,-0.2387,,,3.17,-0.0312,,,3.17,-0.0023
3.18,0.0556,,,3.18,0.017,,,3.18,0.0484,,,3.18,0.0105,-0.0206,,,3.18,0.0455,,,3.18,0.0494,0.0231,,,3.18,-0.0643,0.03,0.1289,,,3.18,0.0777,-0.0554,0.1127,-0.0853,0.0386,,,3.18,0.1133,,,3.18,0.2691,,,3.18,0.0608,,,3.18,-0.1658,,,3.18,0.0006,,,3.18,0.0006
3.19,0.0508,,,3.19,0.0268,,,3.19,0.0158,,,3.19,0.0087,-0.0308,,,3.19,0.0177,,,3.19,0.0255,0.0043,,,3.19,0.0088,-0.0054,0.143,,,3.19,0.0276,-0.0926,0.061,0.0194,-0.0599,,,3.19,0.1549,,,3.19,0.1841,,,3.19,-0.0159,,,3.19,-0.2314,,,3.19,0.0284,,,3.19,-0.0172
3.2,0.0533,,,3.2,-0.0177,,,3.2,-0.0144,,,3.2,0.0353,0.0155,,,3.2,0.012,,,3.2,0.0154,0.0026,,,3.2,0.0526,0.0137,0.153,,,3.2,-0.0482,0.0373,0.0141,0.0486,0.0538,,,3.2,0.2842,,,3.2,0.1427,,,3.2,0.0967,,,3.2,-0.1872,,,3.2,0.0415,,,3.2,0.0412
3.21,0.1107,,,3.21,-0.0201,,,3.21,-0.1125,,,3.21,-0.0113,0.009,,,3.21,0.0263,,,3.21,0.0102,0.0122,,,3.21,0.1216,0.0316,0.1939,,,3.21,-0.0982,-0.0316,0.0855,0.0307,-0.1552,,,3.21,0.2932,,,3.21,-0.0959,,,3.21,0.06,,,3.21,-0.0744,,,3.21,0.0099,,,3.21,0.0238
3.22,0.0273,,,3.22,0.0263,,,3.22,-0.0058,,,3.22,-0.0348,-0.0678,,,3.22,-0.0372,,,3.22,-0.033,0.0084,,,3.22,0.1265,0.014,0.1718,,,3.22,-0.115,0.039,-0.0724,-0.1234,0.049,,,3.22,0.056,,,3.22,0.0646,,,3.22,0.0564,,,3.22,-0.04,,,3.22,0.045,,,3.22,0.0866
3.23,0.0289,,,3.23,0.0308,,,3.23,-0.0092,,,3.23,0.0151,-0.0204,,,3.23,-0.0511,,,3.23,-0.0071,0.0062,,,3.23,0.1368,-0.014,0.1998,,,3.23,-0.1396,0.0915,0.0233,0.1337,0.0183,,,3.23,-0.0374,,,3.23,-0.4797,,,3.23,0.0631,,,3.23,-0.0638,,,3.23,0.0125,,,3.23,0.0501
3.24,0.0028,,,3.24,0.0532,,,3.24,-0.018,,,3.24,-0.0063,-0.013,,,3.24,0.0438,,,3.24,0.0024,0.0177,,,3.24,0.0997,0.0702,0.1702,,,3.24,-0.2155,-0.0853,-0.0843,-0.1101,-0.0809,,,3.24,-0.0978,,,3.24,-0.2552,,,3.24,0.012,,,3.24,-0.1892,,,3.24,0.047,,,3.24,0.045
3.25,0.014,,,3.25,0.0703,,,3.25,0.0084,,,3.25,0.089,0.0171,,,3.25,0.0123,,,3.25,0.0335,0.0231,,,3.25,0.1512,-0.0064,0.1558,,,3.25,-0.2326,0.0492,0.1859,0.2145,-0.0207,,,3.25,-0.1671,,,3.25,0.2165,,,3.25,-0.0065,,,3.25,-0.0372,,,3.25,0.0735,,,3.25,0.0895
3.26,0.0279,,,3.26,0.0345,,,3.26,0.0699,,,3.26,0.0155,-0.046,,,3.26,0.07,,,3.26,0.0208,0.0051,,,3.26,0.1817,-0.0266,0.1598,,,3.26,-0.2497,0.0226,-0.0592,0.0413,0.0284,,,3.26,-0.1796,,,3.26,0.0276,,,3.26,-0.0309,,,3.26,-0.0251,,,3.26,-0.0105,,,3.26,0.0214
3.27,-0.0106,,,3.27,0.083,,,3.27,-0.033,,,3.27,0.0164,-0.0501,,,3.27,0.055,,,3.27,-0.006,0.0074,,,3.27,0.2018,-0.1818,0.1159,,,3.27,-0.2666,0.1149,0.002,-0.1484,-0.0966,,,3.27,0.0022,,,3.27,-0.054,,,3.27,-0.0115,,,3.27,-0.0051,,,3.27,-0.0096,,,3.27,0.0846
3.28,-0.0191,,,3.28,0.0743,,,3.28,-0.0291,,,3.28,0.0358,-0.0206,,,3.28,0.1041,,,3.28,-0.0207,-0.0065,,,3.28,0.1706,-0.1971,0.1374,,,3.28,-0.2643,-0.0165,-0.0215,0.0086,-0.0736,,,3.28,0.0207,,,3.28,-0.3848,,,3.28,-0.0513,,,3.28,-0.0421,,,3.28,-0.028,,,3.28,0.0097
3.29,0.0462,,,3.29,0.0602,,,3.29,-0.0466,,,3.29,0.032,-0.0344,,,3.29,0.0897,,,3.29,-0.0147,0.01,,,3.29,0.206,-0.1863,0.11,,,3.29,-0.2973,-0.1131,-0.0935,-0.0592,-0.0755,,,3.29,-0.0114,,,3.29,-0.1315,,,3.29,-0.0984,,,3.29,0.0241,,,3.29,-0.0244,,,3.29,-0.014
3.3,-0.0198,,,3.3,0.0897,,,3.3,-0.0463,,,3.3,-0.0207,-0.027,,,3.3,0.0235,,,3.3,-0.0347,-0.0136,,,3.3,0.0968,-0.0852,0.1313,,,3.3,-0.282,-0.0274,-0.1495,0.0707,-0.0516,,,3.3,-0.0124,,,3.3,-0.033,,,3.3,-0.0558,,,3.3,0.0604,,,3.3,-0.0065,,,3.3,0.0202
3.31,-0.0343,,,3.31,0.0363,,,3.31,0.0061,,,3.31,0.0216,0.0006,,,3.31,0.0446,,,3.31,0.0076,0.001,,,3.31,0.1496,-0.0924,0.129,,,3.31,-0.3462,-0.0179,0.0218,0.0595,-0.0335,,,3.31,-0.0454,,,3.31,-0.1168,,,3.31,-0.0752,,,3.31,0.043,,,3.31,0.0644,,,3.31,-0.0598
3.32,-0.0184,,,3.32,0.0295,,,3.32,0.042,,,3.32,0.0632,0.0033,,,3.32,0.0153,,,3.32,-0.0217,0.0063,,,3.32,0.0905,-0.0442,0.1585,,,3.32,-0.341,0.0154,-0.0825,0.0857,0.0771,,,3.32,0.1617,,,3.32,-0.1359,,,3.32,-0.1048,,,3.32,0.0364,,,3.32,0.046,,,3.32,0.0136
3.33,0.0312,,,3.33,0.009,,,3.33,-0.0679,,,3.33,-0.0323,0.0227,,,3.33,0.0256,,,3.33,-0.0806,0.032,,,3.33,0.0618,0.003,0.17,,,3.33,-0.3326,-0.0591,-0.0613,0.0905,-0.0478,,,3.33,-0.4784,,,3.33,0.0029,,,3.33,-0.0596,,,3.33,0.1095,,,3.33,-0.0604,,,3.33,-0.0233
3.34,0.0611,,,3.34,-0.0612,,,3.34,0.0478,,,3.34,0.0092,0.0034,,,3.34,0.0842,,,3.34,-0.0403,0.0078,,,3.34,0.0357,-0.039,0.1297,,,3.34,-0.2718,-0.0169,0.0059,-0.041,-0.0482,,,3.34,-0.0284,,,3.34,0.18,,,3.34,0.0049,,,3.34,-0.0324,,,3.34,0.0108,,,3.34,0.0232
3.35,-0.0091,,,3.35,0.0446,,,3.35,-0.0065,,,3.35,-0.0014,0.0496,,,3.35,0.0183,,,3.35,0.005,-0.0048,,,3.35,0.0543,-0.0559,0.1271,,,3.35,-0.2014,-0.0486,-0.0793,0.0042,0.0302,,,3.35,0.0195,,,3.35,-0.077,,,3.35,-0.033,,,3.35,-0.0336,,,3.35,0.0088,,,3.35,-0.0263
3.36,0.0047,,,3.36,0.006,,,3.36,0.0671,,,3.36,-0.0139,0.0887,,,3.36,0.0119,,,3.36,-0.0116,0.0197,,,3.36,0.0104,-0.0446,0.1186,,,3.36,-0.1692,0.1016,-0.0424,0.0693,-0.2642,,,3.36,0.2746,,,3.36,0.1296,,,3.36,-0.0082,,,3.36,-0.0421,,,3.36,-0.0052,,,3.36,0.0925
3.37,-0.0238,,,3.37,0.1027,,,3.37,-0.0138,,,3.37,0.0244,0.0954,,,3.37,0.0042,,,3.37,0.016,-0.0093,,,3.37,-0.0566,-0.0015,0.115,,,3.37,-0.109,-0.1332,-0.0447,0.022,-0.0324,,,3.37,0.0359,,,3.37,-0.019,,,3.37,0.0636,,,3.37,0.0141,,,3.37,0.0027,,,3.37,0.0544
3.38,0.0222,,,3.38,-0.0074,,,3.38,0.0263,,,3.38,-0.0396,0.0762,,,3.38,0.02,,,3.38,0.0089,0.0051,,,3.38,-0.044,-0.03,0.11,,,3.38,-0.0868,0.0804,-0.0828,0.1026,0.0311,,,3.38,-0.0914,,,3.38,0.0227,,,3.38,0.0966,,,3.38,-0.0406,,,3.38,0.0028,,,3.38,0.1056
3.39,-0.0279,,,3.39,0.0611,,,3.39,0.0392,,,3.39,0.0181,0.0723,,,3.39,0.0404,,,3.39,0.029,0.0001,,,3.39,-0.0569,0.0123,0.119,,,3.39,-0.0358,0.0534,-0.1252,0.1664,0.0944,,,3.39,-0.04,,,3.39,0.2262,,,3.39,0.0384,,,3.39,0.0047,,,3.39,0.1035,,,3.39,0.0693
3.4,-0.0495,,,3.4,0.0619,,,3.4,-0.0296,,,3.4,-0.0058,0.0302,,,3.4,0.0497,,,3.4,0.0099,-0.0101,,,3.4,-0.0612,-0.0925,0.0638,,,3.4,0.0052,-0.0462,-0.058,-0.1412,-0.0733,,,3.4,-0.1147,,,3.4,-0.109,,,3.4,0.0697,,,3.4,0.0183,,,3.4,0.0482,,,3.4,0.0088
3.41,-0.0226,,,3.41,0.0479,,,3.41,0.0276,,,3.41,-0.0525,0.0035,,,3.41,0.025,,,3.41,0.0007,-0.0199,,,3.41,0.0293,-0.1121,0.0865,,,3.41,-0.0563,0.0533,-0.0337,-0.1893,-0.1202,,,3.41,-0.0486,,,3.41,-0.1128,,,3.41,0.0959,,,3.41,0.0641,,,3.41,0.0397,,,3.41,-0.0072
3.42,0.0107,,,3.42,0.0217,,,3.42,0.0107,,,3.42,0.011,0.0471,,,3.42,-0.0391,,,3.42,0.0315,-0.019,,,3.42,0.0375,-0.1556,0.0801,,,3.42,0.0136,0.0945,-0.0355,-0.0313,0.0245,,,3.42,-0.1713,,,3.42,0.0986,,,3.42,0.1522,,,3.42,0.1491,,,3.42,0.0479,,,3.42,0.0684
3.43,0.031,,,3.43,-0.0092,,,3.43,-0.0251,,,3.43,-0.043,0.0733,,,3.43,-0.0621,,,3.43,0.0044,-0.0325,,,3.43,0.0134,-0.1652,0.0991,,,3.43,-0.0041,-0.0257,0.1108,0.0398,0.1147,,,3.43,-0.0989,,,3.43,0.0566,,,3.43,0.1118,,,3.43,0.1379,,,3.43,0.0464,,,3.43,0.0221
3.44,0.0094,,,3.44,0.0703,,,3.44,0.0659,,,3.44,0.0121,-0.0633,,,3.44,0.0204,,,3.44,0.0159,-0.0236,,,3.44,0.029,-0.1813,0.0827,,,3.44,0.0182,0.0776,0.0047,-0.1366,0.0141,,,3.44,0.023,,,3.44,0.0583,,,3.44,0.1229,,,3.44,0.1218,,,3.44,0.1202,,,3.44,-0.0535
3.45,-0.0043,,,3.45,0.0496,,,3.45,0.0246,,,3.45,0.0046,0.0854,,,3.45,-0.0503,,,3.45,0.0072,-0.0142,,,3.45,0.087,-0.2608,0.0823,,,3.45,-0.0176,-0.0514,-0.0181,0.1108,0.0973,,,3.45,0.0857,,,3.45,-0.3145,,,3.45,0.1169,,,3.45,0.1313,,,3.45,0.0634,,,3.45,0.0212
3.46,0.0068,,,3.46,0.0782,,,3.46,-0.0389,,,3.46,-0.0128,0.0757,,,3.46,-0.103,,,3.46,0.0279,0.0374,,,3.46,0.0607,-0.226,0.1015,,,3.46,-0.0644,0.0326,-0.1001,0.0494,-0.0704,,,3.46,-0.2384,,,3.46,-0.6073,,,3.46,0.1255,,,3.46,0.1452,,,3.46,0.0238,,,3.46,-0.0682
3.47,0.0214,,,3.47,-0.0208,,,3.47,0.0067,,,3.47,-0.0796,0.0336,,,3.47,-0.0878,,,3.47,-0.0154,-0.0366,,,3.47,-0.0696,-0.2691,0.0389,,,3.47,-0.0161,-0.0966,-0.1077,-0.0169,-0.1482,,,3.47,-0.205,,,3.47,-0.1113,,,3.47,0.102,,,3.47,0.0831,,,3.47,-0.049,,,3.47,-0.0838
3.48,0.0398,,,3.48,-0.0421,,,3.48,0.0227,,,3.48,-0.0012,0.1084,,,3.48,-0.0826,,,3.48,-0.0243,0.0073,,,3.48,-0.0876,-0.2982,0.045,,,3.48,0.0025,-0.043,-0.011,-0.1886,-0.0738,,,3.48,-0.039,,,3.48,0.0753,,,3.48,0.1043,,,3.48,0.103,,,3.48,0.033,,,3.48,-0.0101
3.49,0.0015,,,3.49,0.0385,,,3.49,0.0071,,,3.49,0.0377,0.0592,,,3.49,-0.0655,,,3.49,0.0072,-0.0133,,,3.49,-0.1364,-0.3772,0.0228,,,3.49,-0.0602,0.0447,-0.034,0.0421,-0.0204,,,3.49,0.0169,,,3.49,0.2772,,,3.49,0.1635,,,3.49,0.1004,,,3.49,-0.0306,,,3.49,-0.0703
3.5,0.0358,,,3.5,0.048,,,3.5,0.0642,,,3.5,0.0025,0.071,,,3.5,-0.0708,,,3.5,0.0168,0.0266,,,3.5,-0.1531,-0.2919,0.0343,,,3.5,-0.0835,-0.0988,-0.1222,-0.041,0.0286,,,3.5,-0.2452,,,3.5,0.3013,,,3.5,0.087,,,3.5,0.0588,,,3.5,0.0225,,,3.5,-0.0568
3.51,-0.0321,,,3.51,0.0306,,,3.51,0.0213,,,3.51,-0.0277,0.0761,,,3.51,-0.0486,,,3.51,0.0234,-0.0079,,,3.51,-0.1279,-0.393,-0.0041,,,3.51,-0.0701,0.0942,-0.1277,-0.2039,-0.2314,,,3.51,-0.2266,,,3.51,-0.0879,,,3.51,0.1047,,,3.51,0.1051,,,3.51,-0.0083,,,3.51,-0.08
3.52,-0.0299,,,3.52,-0.0084,,,3.52,-0.0138,,,3.52,0.0221,0.0504,,,3.52,-0.0728,,,3.52,0.0003,-0.0112,,,3.52,-0.2473,-0.372,0.005,,,3.52,-0.0976,-0.0514,0.0935,0.0569,-0.1905,,,3.52,0.1369,,,3.52,0.1174,,,3.52,0.0672,,,3.52,0.1403,,,3.52,-0.0764,,,3.52,-0.1603
3.53,-0.0394,,,3.53,0.0422,,,3.53,-0.0278,,,3.53,-0.002,0.0206,,,3.53,-0.0679,,,3.53,-0.0349,0.0048,,,3.53,-0.1528,-0.4014,-0.0159,,,3.53,-0.1659,-0.1357,-0.0327,0.2523,-0.1264,,,3.53,0.2918,,,3.53,0.1074,,,3.53,0.0751,,,3.53,0.1661,,,3.53,0.0145,,,3.53,-0.0485
3.54,-0.013,,,3.54,0.0009,,,3.54,0.0396,,,3.54,0.0263,-0.0183,,,3.54,-0.0553,,,3.54,-0.0167,-0.0411,,,3.54,-0.2856,-0.4394,-0.0298,,,3.54,-0.204,-0.0875,-0.0441,0.1463,-0.0003,,,3.54,0.1073,,,3.54,0.0774,,,3.54,0.1198,,,3.54,0.1235,,,3.54,-0.092,,,3.54,-0.0292
3.55,-0.0304,,,3.55,0.0287,,,3.55,0.0072,,,3.55,-0.0145,0.0148,,,3.55,-0.0315,,,3.55,-0.0159,-0.0252,,,3.55,-0.2398,-0.3188,-0.001,,,3.55,-0.1874,0.0979,0.0111,-0.1024,0.0162,,,3.55,0.1235,,,3.55,0.0321,,,3.55,0.0303,,,3.55,0.1566,,,3.55,-0.0391,,,3.55,0.0386
3.56,-0.0885,,,3.56,-0.0384,,,3.56,-0.0195,,,3.56,0.0238,0.0489,,,3.56,-0.0027,,,3.56,0.0126,-0.0028,,,3.56,-0.272,-0.2886,0.0057,,,3.56,-0.1238,-0.138,0.07,0.0225,-0.0002,,,3.56,0.2018,,,3.56,-0.1251,,,3.56,0.0086,,,3.56,0.0918,,,3.56,-0.0371,,,3.56,-0.0544
3.57,-0.0096,,,3.57,0.0229,,,3.57,0.0461,,,3.57,0.0055,0.0732,,,3.57,-0.0552,,,3.57,-0.0044,-0.0085,,,3.57,-0.1502,-0.3547,-0.0017,,,3.57,-0.109,-0.0002,0.2125,0.0309,0.0328,,,3.57,0.4801,,,3.57,-0.1573,,,3.57,-0.0571,,,3.57,0.0664,,,3.57,-0.0324,,,3.57,0.0025
3.58,-0.0756,,,3.58,0.0039,,,3.58,0.0119,,,3.58,0.0339,0.0306,,,3.58,-0.036,,,3.58,0.0116,-0.0408,,,3.58,-0.1398,-0.3576,-0.0102,,,3.58,-0.0436,-0.0494,0.1048,-0.0366,-0.1272,,,3.58,0.1209,,,3.58,0.095,,,3.58,-0.103,,,3.58,-0.0233,,,3.58,0.0237,,,3.58,0.0095
3.59,-0.0142,,,3.59,-0.066,,,3.59,-0.0243,,,3.59,0.0449,0.0688,,,3.59,0.0539,,,3.59,0.0157,-0.0069,,,3.59,-0.1258,-0.2579,-0.0011,,,3.59,0.0536,0.0469,-0.0461,-0.0604,-0.0085,,,3.59,0.1419,,,3.59,0.0646,,,3.59,-0.1171,,,3.59,-0.0074,,,3.59,-0.03,,,3.59,0.0589
3.6,-0.0422,,,3.6,-0.0386,,,3.6,0.038,,,3.6,0.0311,0.0127,,,3.6,0.0032,,,3.6,-0.0038,-0.042,,,3.6,-0.092,-0.2681,-0.0163,,,3.6,0.1276,-0.0131,-0.0717,-0.1125,-0.1009,,,3.6,0.1477,,,3.6,0.1817,,,3.6,-0.1239,,,3.6,0.0313,,,3.6,0.0238,,,3.6,0.0737
